,rapper,verse,num_misogyny,misogyny_label
102,Kendrick Lamar,"When I get signed, homie, I'ma act a fool Hit the dance floor, strobe lights in the room Snatch your little secretary bitch for the homies Blue-eyed devil with a fat-ass monkey I'ma buy a brand new Caddy on fours Trunk the hood up, two times, deuce-four Platinum on everythin', platinum on weddin' ring Married to the game and a bad bitch chose When I get signed, homie, I'ma buy a strap Straight from the CIA, set it on my lap Take a few M-16s to the hood Pass 'em all out on the block, what's good? I'ma put the Compton swap meet by the White House Republican run up, get socked out Hit the prez with a Cuban link on my neck Uneducated, but I got a million-dollar check like that",TRUE,Misogynistic
175,Eazy-E,"One, and then comes the two to the motherfuckin' three Then comes the Eazy to the other fuckin' E Playin' niggas life like a puppet And can't dance, sucka touch it, so fuck it Rappers want to diss I'm glad to see 'em Cause I rip your fuckin' face outta a magazine O.G. gangsta lean Now after I shit your face swap that ass clean Time to get tipsy And don't want a bitch if she can't rub the balls like a gypsy Who's all in? (Eazy, Cashish & Loesta we on the muthafuckin' screen) Motherfuck what ya heard I'm more than that A real nigga from the hood and I'm all of that Thick as a hicky A picky nigga fittin' dickies with bitches strictly dickly Many sets I rolled on And killed squeals that told on, my homies that so on Don't ask Eazy shit It's still a hit is a hit, and a bitch is a biitch! Hangin' on my nuts like a hair strand Hangin' there with their heart, and their plan Ass out like an asshole Runnin' to my dick with a rhyme and a lasso Again and again From beginning to end it's my nuts on your chin ",TRUE,Misogynistic
82,Lupe Fiasco,"(I've always loved you) Uhh, quiet in the court for the courtship Marriage of the dork and the gorgeous Took her from the king of the corpses He revolve, jumped off the wall of the fort with the horses This is foretold, Bojangles was tapping in morse code At least to the mad man genius, tap top secrets and more gold (All of you) From the guts of the mother, Kambucha move her undercover With a $3,000 son she just want a lover And somebody else to come and try and drug her Take her off the grill, she done (they will never love you) Pills celebrating, ""We won"" In the system of the women, never knew he had it in him This condition when the world that they make him become (None of you) Cocaine and new high tech ways, smuggle whole things (I've always loved you) From the control range that make radio heads with gold brains (All of you) Depart 84' Jags on gold chains Developing niggas from a whole name God is great, but it's snakes on my soul plane",FALSE,Nonmisogynistic
46,Nas,"So you ain't let Nas down It's just part of the game, becoming a rap king, my nigga You ain't let Nas down How that sound? Here the crown, pass it to you like nothing, nigga You ain't let Nas down ",FALSE,Nonmisogynistic
85,NF,"Tears on my face I can't take it If lonely is a taste then it's all that I'm tasting Do you hear my cry? I cry, oh ",FALSE,Nonmisogynistic
26,Tyler The Creator,"They say I've calmed down since the last album Well, lick my dick, how does that sound? (Umm) Smell my gooch, you could kiss my buns And I don't give a shit, bend my rectum Somebody said bands make her dance You think you're getting cash, no bitch, you're dumb The only thing that you're gonna get is this dick Wait turn this up, bitch, this my jam (Where the drums at?) Here, take a goddamn picture And tell Spike Lee he's a goddamn nigga And while you're at it, pass the lotion And fapping and Xbox Live, that fun Before I cum, I'm calling your sister When she comes over, I take picture Instantly put it on Instagram And suplex her off a building if I get banned ",TRUE,Misogynistic
39,Eminem,"So, get your ideas, stack your ammo But don't come unless you come to battle Now mount up, jump in the saddle This is itâit's what you eat, sleep, piss and shit Live, breathe, your whole existence just consists of this Refuse to quit, fuse is lit, can't defuse the wick If I don't do this music shit, I'll lose my shit Ain't got shit to lose, it's the moment of truth It's all I know how to do: as soon as I get thrown in a booth, I spit But my respect is overdue I'm showin' you the flow no one do âCause I don't own no diploma for school, I quit So there's nothin' for me to fall back on, I know no other trade So you better trade your fuckin' mics in for some tool-box-es âCause you'll never take my pride from me It'll have to be pried from me So, pull out your pliers and your screwdrivers! But I want you to doubt me, I don't want you to buh-lieve âCause this is somethin' that I must use to succeed And if you don't like me, then fuck you! Self-esteem Must be fuckin' shootin' through the roof, âcause trust me My skin is too thick and bulletproof to touch me I can see why the fuck I disgust you, I must be Allergic to failure, âcause everytime I come close to it I just sneeze, but I just go achoo then a-chieve! ",FALSE,Nonmisogynistic
163,Kanye West,"Through the fire, to the limit, to the wall For a chance to be with you, I'd gladly risk it all Through the fire, through whatever, come what may For a chance at loving you, I'd take it all the way Right down to the wire, even through the fire ",FALSE,Nonmisogynistic
26,Drake,"Skrrt And more chune for your headtop So watch how you speak on my name, you know? Fuck bein' on some chill shit We go 0 to 100, nigga, real quick They be on that rap-to-pay-the-bill shit And I don't feel that shit, not even a little bit Oh Lord, know yourself, know your worth, nigga My actions been louder than my words, nigga How you so high, but still so down to Earth, nigga? If niggas wanna do it, we can do it on they turf, nigga Oh Lord, I'm the rookie and the vet Shoutout to the bitches out here holdin' down the set All up in my phone, lookin' at pictures from the other night She gon' be upset if she keep scrollin' to the left, dawg She gon' see some shit that she don't wanna see She ain't ready for it If I ain't the greatest then I'm headed for it That mean I'm way up (way up) Yeah, the 6 ain't friendly but that's where I lay up This shit a mothafuckin' lay up I been Steph Curry with the shot Been cookin' with the sauce, Chef Curry with the pot, boy 360 with the wrist, boy Who the fuck them niggas is, boy? OVO, man, we really with the shits, boy Yeah, really with the shits I should prolly sign to Hit-Boy 'cause I got all the hits, boy Fuck all that ""Drake, you gotta chill"" shit I be on my Lil Mouse drill shit Fuck all that rap-to-pay-your-bill shit I'm on some Raptors-pay-my-bills shit All up on TV, I thought it'd make me richer Wasn't payin' me enough, I needed somethin' quicker So now I'm all in Niko's basement puttin' work in on the phones Either that or drive to Money Mart to make the pickups Man, it's 2008, I'm tryna paint the picture Comeback Season in the works and now I'm thinkin' bigger I got 40 in the studio, every night, late night Gotta watch that shit, don't want to make him sicker That's my nigga Oh Lord, got a whole lot to show for it I mean we can really get it, we can go for it I'm just here for the bucks and the billis, nigga Don't make me kill one of the GOATs for it I run this shit, they like, ""Go Forrest Run Forrest, run Forrest, go Forrest"" Yeah, I mean you already wrote for us Damn, nigga, what's one more quote for us? Oh Lord, who else soundin' like this? They ain't make me what I am, they just found me like this I was ready... fuck that, I've been ready Since my dad used to tell me He was comin' to the house to get me He ain't show up Valuable lesson, man, I had to grow up That's why I never ask for help I'll do it for you niggas and do it for myself",TRUE,Misogynistic
83,Kanye West,"I can't handle no liquor But these bitches can't handle me I can't control my niggas And my niggas they can't control me You say you know me, my nigga But you really just know the old me ",TRUE,Misogynistic
